Shortlisted Stocks nifty50,Shortlisted stocks nifty midcap 50
BRITANNIA,TORNTPHARM
ASIANPAINT,SRF
BAJAJFINSV,IGL
HINDUNILVR,BATAINDIA
HDFCBANK,MRF
INFY,NAUKRI
TCS,MINDTREE
SHREECEM,TVSMOTOR
BPCL,
TITAN,
EICHERMOT,
