,Portfolio Name,Portfolio WeightList,Portfolio Volatility,PortFolio Returns
30,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,2.91:17.47:12.53:24.04:1.23:20.96:5.12:15.74,0.2627510033997761,0.20024085871761535
31,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,11.44:24.81:7.53:5.86:6.14:19.1:16.87:8.24,0.23894174492232675,0.19913989707316512
32,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,18.37:14.71:14.9:18.8:8.63:14.06:6.26:4.27,0.24617481273136554,0.21090459411870574
33,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,5.22:9.41:2.09:19.05:14.7:19.5:15.91:14.12,0.23629212849878678,0.19236343726729352
34,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,10.52:17.04:13.2:16.67:0.61:16.89:18.83:6.22,0.24272989882740303,0.19926496493366536
35,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,9.71:14.28:11.23:15.5:17.1:9.72:13.65:8.81,0.23920655431694532,0.2029531081504191
36,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,20.52:6.66:10.67:16.0:16.18:1.33:11.94:16.7,0.24350456577691693,0.2024468800981382
37,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,3.19:11.57:13.59:18.78:15.54:8.22:16.28:12.83,0.24883067522657376,0.19900941036902717
38,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,0.62:19.26:9.87:0.46:6.12:6.71:35.53:21.43,0.26026395524345014,0.18300346379903015
39,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,4.53:10.88:22.43:7.9:13.92:7.04:20.41:12.89,0.26489651057142766,0.20310279038927018
40,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,1.58:2.06:24.34:13.47:10.49:21.29:3.84:22.93,0.2831791855865107,0.2072209551264594
41,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,24.58:14.93:2.57:5.52:7.88:9.89:16.44:18.2,0.23469626649846212,0.19566075481610404
42,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,16.48:17.65:14.07:20.96:2.05:9.44:4.67:14.68,0.2587347931579967,0.20535067371900656
43,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,18.78:12.53:14.88:5.81:1.43:13.87:14.08:18.62,0.24413930771437944,0.20123595942467276
44,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,13.89:16.39:5.24:19.0:1.44:19.1:23.18:1.77,0.23465217851975928,0.1946534872570969
45,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,9.45:16.13:1.29:25.17:0.64:18.62:17.72:10.97,0.24494820002401865,0.1898688289830997
46,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,19.35:7.59:21.04:9.47:4.42:2.7:17.03:18.41,0.26212967092389317,0.20326901473445974
47,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,11.15:17.46:15.27:0.71:8.29:17.52:9.14:20.47,0.25222861361122473,0.20382433768468688
48,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,17.66:12.47:1.43:12.18:21.07:10.12:16.51:8.56,0.22981084081508177,0.19875847515958248
49,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,14.13:13.14:20.8:18.47:6.91:8.23:3.86:14.46,0.2693186750884696,0.21031298790445957
50,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,7.49:3.36:17.72:21.54:12.85:18.66:3.36:15.03,0.2583974451740214,0.2075897407306356
51,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,0.29:19.35:16.57:6.38:13.28:10.67:17.03:16.43,0.2588916501350719,0.19959547211533862
52,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,3.21:22.0:16.73:13.44:0.27:22.6:13.3:8.44,0.2590288113353336,0.20232894326737946
53,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,1.35:11.05:26.83:7.17:4.86:24.8:10.73:13.21,0.2830385596172234,0.20859581445671274
54,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,16.24:28.61:30.72:3.4:1.33:4.6:7.47:7.63,0.3099864759922202,0.2184209063860159
55,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,7.54:15.04:14.96:5.51:12.41:19.41:10.27:14.85,0.24563663436055255,0.20452272206200617
56,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,0.28:14.17:21.25:21.33:17.83:8.1:4.94:12.09,0.278548771566315,0.20949830178730522
57,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,8.58:17.79:18.39:13.87:1.68:3.07:21.27:15.35,0.26446106535688674,0.19739893562468097
58,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,4.72:12.07:23.24:10.17:11.03:8.2:29.98:0.58,0.2678680646218222,0.20235325367459855
59,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,20.42:7.15:2.72:18.3:7.59:5.06:18.04:20.72,0.24097573780125234,0.19103596061718273
60,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,0.13:14.65:6.59:12.96:13.92:20.56:22.78:8.41,0.2361857751987409,0.19299672659497843
61,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,7.83:7.04:11.12:10.06:16.56:15.63:21.95:9.8,0.23003984411664682,0.19787782523566103
62,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,2.29:22.4:9.53:0.14:19.79:3.04:21.47:21.34,0.2594390452025424,0.19369511324401353
63,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,3.44:3.06:21.74:22.93:20.07:13.72:14.43:0.61,0.26324240694224166,0.20967208721142377
64,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,16.51:13.95:11.55:12.39:11.2:15.62:7.37:11.41,0.23754248909339823,0.206421190769285
65,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,4.81:9.6:19.89:4.37:16.86:20.74:11.37:12.37,0.2540500903058308,0.2079279210456353
66,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,22.1:19.07:19.5:18.53:6.17:0.57:5.84:8.23,0.27047204123563995,0.21271846728625549
67,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,16.13:8.09:18.05:12.09:9.36:12.53:10.45:13.3,0.24712201512498283,0.20712694697450684
68,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,17.97:0.41:6.82:13.07:13.65:20.53:6.22:21.32,0.23625135734771868,0.2007913308183445
69,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,5.6:22.37:5.31:3.35:12.18:5.4:21.95:23.84,0.2552632288295663,0.18894919702663981
70,TORNTPHARM:SRF:IGL:BATAINDIA:MRF:NAUKRI:MINDTREE:TVSMOTOR,12.14:3.86:6.93:23.08:17.51:17.78:17.62:1.08,0.22916469153810315,0.20073367323402
