,Portfolio Name,Portfolio WeightList,Portfolio Volatility,PortFolio Returns
24,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,1.82:4.24:9.09:15.7:6.57:14.4:14.24:12.26:1.54:20.14,0.20739239771196027,0.22366005098194075
25,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,16.77:3.63:1.8:5.17:12.66:13.6:16.39:6.94:17.21:5.85,0.20543104473042487,0.22212116424029726
26,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,13.13:15.67:10.59:3.68:5.23:9.39:11.87:12.32:10.09:8.01,0.1837130834584226,0.23997996694496554
27,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,13.43:1.81:12.88:10.73:7.53:7.64:13.53:11.25:13.12:8.07,0.18845937642856672,0.22177112594947573
28,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,14.91:5.32:10.03:0.83:10.42:16.13:10.17:15.94:15.66:0.59,0.2046491111596608,0.22617819221971316
29,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,12.82:12.71:7.04:8.97:14.38:10.2:12.12:5.78:3.85:12.13,0.19745807765166792,0.23542226321405338
30,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,1.18:1.58:4.97:16.45:17.3:13.65:7.79:8.33:13.67:15.08,0.2210049759070188,0.21620885793953823
31,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,16.11:4.3:11.84:4.19:1.28:12.32:14.34:11.57:13.95:10.09,0.18897890301235995,0.2277928080451749
32,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,7.68:8.44:9.93:11.43:12.45:10.82:12.13:10.78:8.02:8.32,0.1951913730666054,0.2259875140186318
33,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,10.09:0.98:18.63:7.25:27.59:6.27:3.28:2.33:15.18:8.41,0.23157332770872577,0.21925254841946168
34,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,12.97:17.4:5.85:14.28:3.02:1.57:9.52:15.41:2.81:17.18,0.18417191977665484,0.249545685858221
35,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,7.5:16.55:1.21:4.3:12.52:5.82:13.47:17.3:4.87:16.46,0.1978959816222185,0.24727376977487106
36,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,0.87:17.64:6.48:5.73:4.45:21.82:20.24:9.96:4.68:8.11,0.2089039566379603,0.22836612344148893
37,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,11.79:1.09:7.06:15.58:2.9:17.88:5.73:13.54:12.14:12.29,0.19581167022714574,0.2221256184389631
38,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,1.5:18.1:7.26:20.18:3.61:12.55:13.03:8.82:10.37:4.58,0.18539516441290962,0.22547559520703322
39,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,2.65:18.76:8.4:13.9:8.53:2.55:8.45:8.47:14.59:13.7,0.18996494194780225,0.2377673976085268
40,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,1.41:17.15:8.33:12.51:7.28:9.75:4.74:13.81:16.68:8.35,0.19286609182993103,0.23396999140710847
41,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,9.58:6.81:4.06:3.8:6.62:6.42:11.19:21.48:3.48:26.56,0.20824168044168323,0.24653925704876867
42,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,4.5:13.69:10.62:16.41:15.04:8.2:0.81:5.62:14.19:10.94,0.20121908543694003,0.23037734969573723
43,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,10.1:3.69:12.5:16.59:6.93:4.46:13.81:9.43:12.23:10.26,0.18554459008558727,0.22123128032631215
44,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,1.65:17.71:17.98:0.82:4.94:11.09:18.52:17.99:7.1:2.21,0.19618495014058493,0.2329835883482737
45,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,7.29:13.19:6.72:13.7:14.94:11.66:3.05:10.25:15.03:4.17,0.2005564412619805,0.22919220302243443
46,BRITANNIA:ASIANPAINT:BAJAJFINSV:HINDUNILVR:HDFCBANK:INFY:TCS:SHREECEM:BPCL:TITAN,10.8:1.19:13.59:8.39:11.19:13.81:14.51:7.62:4.74:14.16,0.20658285143406685,0.22157956513720528
